==Frequent itemsets (min_sup=1.0%)
[36-45,BLACK], 14.1883%
[26-35,MED], 14.1337%
[DE,MAX,Y_MENTAL_OBSV], 14.0655%
[MIN,N_INFRACTION,N_MENTAL_OBSV], 13.9836%
[26-35,N_MENTAL_OBSV], 13.8745%
[26-35,DE,N_GANG,N_INFRACTION], 13.8336%
[N_GANG,N_MENTAL_OBSV,OTHER], 13.8199%
[MED,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 13.7108%
[BLACK,MED,N_GANG,N_INFRACTION], 13.6835%
[BLACK,DE,MAX], 13.6698%
[36-45,DE,N_GANG,N_INFRACTION], 13.6153%
[36-45,N_GANG,Y_MENTAL_OBSV], 13.5607%
[N_GANG,OTHER,Y_MENTAL_OBSV], 13.4379%
[MIN,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 13.4379%
[46-55], 13.4243%
[BLACK,MIN,N_INFRACTION], 13.3288%
[MED,Y_INFRACTION], 13.3015%
[Y_GANG,Y_INFRACTION], 13.2469%
[BLACK,DE,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 13.2333%
[DE,OTHER,Y_MENTAL_OBSV], 13.1241%
[BLACK,N_GANG,N_INFRACTION,N_MENTAL_OBSV], 13.1241%
[MED,OTHER], 13.0286%
[BLACK,DE,MED,N_INFRACTION], 13.0286%
[DE,N_GANG,Y_INFRACTION,Y_MENTAL_OBSV], 12.9741%
[46-55,N_GANG], 12.9059%
[26-35,Y_INFRACTION], 12.8786%
[MIN,N_INFRACTION,Y_MENTAL_OBSV], 12.8649%
[BLACK,DE,Y_GANG], 12.8513%
[MAX,Y_GANG], 12.8104%
[BLACK,DE,Y_INFRACTION,Y_MENTAL_OBSV], 12.7558%
[MAX,N_GANG], 12.7285%
[36-45,DE,Y_MENTAL_OBSV], 12.6876%
[DE,MIN,Y_MENTAL_OBSV], 12.4966%
[BLACK,MIN,N_GANG,N_INFRACTION], 12.4966%
[MIN,N_GANG,N_INFRACTION,Y_MENTAL_OBSV], 12.442%
[26-35,DE,N_GANG,Y_MENTAL_OBSV], 12.4284%
[BLACK,DE,N_GANG,N_MENTAL_OBSV], 12.4011%
[DE,MED,N_INFRACTION,Y_MENTAL_OBSV], 12.4011%
[BLACK,DE,N_INFRACTION,N_MENTAL_OBSV], 12.3874%
[18-25,BLACK], 12.3465%
[26-35,BLACK,N_GANG], 12.3192%
[DE,MED,N_GANG,N_MENTAL_OBSV], 12.292%
[nan], 12.2783%
